X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
67.709953,33.93911,1,,Afghanistan,2022/09/11 05:20:45+00,33.93911,67.709953,195631,0,7787,0,,,Afghanistan
20.1683,41.1533000000001,2,,Albania,2022/09/11 05:20:45+00,41.1533,20.1683,330948,0,3584,0,,,Albania
1.65960000000007,28.0339000000001,3,,Algeria,2022/09/11 05:20:45+00,28.0339,1.6596,270532,0,6879,0,,,Algeria
1.52180000000004,42.5063000000001,4,,Andorra,2022/09/11 05:20:45+00,42.5063,1.5218,46113,0,155,0,,,Andorra
17.8739,-11.2026999999999,5,,Angola,2022/09/11 05:20:45+00,-11.2027,17.8739,103131,0,1917,0,,,Angola
23.347,-71.9499,6,,Antarctica,2022/09/11 05:20:45+00,-71.9499,23.347,11,0,0,0,,,Antarctica
-61.7963999999999,17.0608,7,,Antigua and Barbuda,2022/09/11 05:20:45+00,17.0608,-61.7964,8974,0,145,0,,,Antigua and Barbuda
-63.6167,-38.4161,8,,Argentina,2022/09/11 05:20:45+00,-38.4161,-63.6167,9689861,0,129769,0,,,Argentina
45.0382000000001,40.0691,9,,Armenia,2022/09/11 05:20:45+00,40.0691,45.0382,436727,0,8662,0,,,Armenia
149.0124,-35.4734999999999,10,Australian Capital Territory,Australia,2022/09/11 05:20:45+00,-35.4735,149.0124,203680,0,125,0,,,"Australian Capital Territory, Australia"
151.2093,-33.8688,11,New South Wales,Australia,2022/09/11 05:20:45+00,-33.8688,151.2093,3463759,0,5046,0,,,"New South Wales, Australia"
130.8456,-12.4634,12,Northern Territory,Australia,2022/09/11 05:20:45+00,-12.4634,130.8456,96447,0,70,0,,,"Northern Territory, Australia"
153.0251,-27.4698,13,Queensland,Australia,2022/09/11 05:20:45+00,-27.4698,153.0251,1620034,0,2048,0,,,"Queensland, Australia"
138.6007,-34.9284999999999,14,South Australia,Australia,2022/09/11 05:20:45+00,-34.9285,138.6007,758840,0,860,0,,,"South Australia, Australia"
147.3272,-42.8821,15,Tasmania,Australia,2022/09/11 05:20:45+00,-42.8821,147.3272,246706,0,182,0,,,"Tasmania, Australia"
144.9631,-37.8136,16,Victoria,Australia,2022/09/11 05:20:45+00,-37.8136,144.9631,2586290,0,5469,0,,,"Victoria, Australia"
115.8605,-31.9505,17,Western Australia,Australia,2022/09/11 05:20:45+00,-31.9505,115.8605,1139054,0,626,0,,,"Western Australia, Australia"
14.5501,47.5162,18,,Austria,2022/09/11 05:20:45+00,47.5162,14.5501,4984809,0,20678,0,,,Austria
47.5769000000001,40.1431000000001,19,,Azerbaijan,2022/09/11 05:20:45+00,40.1431,47.5769,817596,0,9852,0,,,Azerbaijan
-78.0358889999999,25.0258850000001,20,,Bahamas,2022/09/11 05:20:45+00,25.025885,-78.035889,37125,0,823,0,,,Bahamas
50.5500000000001,26.0275,21,,Bahrain,2022/09/11 05:20:45+00,26.0275,50.55,673693,0,1518,0,,,Bahrain
90.3563,23.6850000000001,22,,Bangladesh,2022/09/11 05:20:45+00,23.685,90.3563,2014577,0,29332,0,,,Bangladesh
-59.5432,13.1939,23,,Barbados,2022/09/11 05:20:45+00,13.1939,-59.5432,101850,0,556,0,,,Barbados
27.9534,53.7098,24,,Belarus,2022/09/11 05:20:45+00,53.7098,27.9534,994037,0,7118,0,,,Belarus
4.40240000000006,51.2195,25,Antwerp,Belgium,2022/09/11 05:20:45+00,51.2195,4.4024,724170,0,0,0,,,"Antwerp, Belgium"
4.35170000000005,50.8503000000001,26,Brussels,Belgium,2022/09/11 05:20:45+00,50.8503,4.3517,486779,0,0,0,,,"Brussels, Belgium"
3.73730000000006,51.0362000000001,27,East Flanders,Belgium,2022/09/11 05:20:45+00,51.0362,3.7373,609374,0,0,0,,,"East Flanders, Belgium"
4.58330000000007,50.9167,28,Flemish Brabant,Belgium,2022/09/11 05:20:45+00,50.9167,4.5833,439232,0,0,0,,,"Flemish Brabant, Belgium"
4.06210000000004,50.5257,29,Hainaut,Belgium,2022/09/11 05:20:45+00,50.5257,4.0621,494027,0,0,0,,,"Hainaut, Belgium"
5.84920000000005,50.4496,30,Liege,Belgium,2022/09/11 05:20:45+00,50.4496,5.8492,401822,0,0,0,,,"Liege, Belgium"
5.34200000000004,50.9739000000001,31,Limburg,Belgium,2022/09/11 05:20:45+00,50.9739,5.342,331402,0,0,0,,,"Limburg, Belgium"
